GeneID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;threshold_padj;Overexpressed;Underexpressed
AT5G03130;12,59883171;-1,896782177;0,665758567;-2,849054104;0,004384942;0,017805501;TRUE;FALSE;TRUE
AT3G51490;7,284086957;-2,469873103;0,866939972;-2,848955157;0,004386306;0,017807193;TRUE;FALSE;TRUE
AT3G25880;15,60449987;-1,616281913;0,5674668;-2,848240486;0,004396169;0,017826879;TRUE;FALSE;TRUE
AT1G35230;13,54809246;-1,958252073;0,687618906;-2,8478741;0,004401233;0,01784439;TRUE;FALSE;TRUE
AT3G18485;8,244340499;-2,307448067;0,811277128;-2,844216836;0,004452074;0,018026076;TRUE;FALSE;TRUE
AT1G19940;13,30096737;-1,747379332;0,614438122;-2,843865428;0,004456987;0,018042914;TRUE;FALSE;TRUE
AT1G71770;9,092031342;-2,449904719;0,861628264;-2,84334303;0,004464299;0,018063347;TRUE;FALSE;TRUE
AT3G05930;9,381316628;-2,338947022;0,822927042;-2,842228902;0,004479931;0,018123531;TRUE;FALSE;TRUE
AT1G69720;7,725516453;-2,380497816;0,837572157;-2,84214058;0,004481173;0,018125487;TRUE;FALSE;TRUE
AT5G52930;14,8197381;-1,670387392;0,588181635;-2,839917625;0,004512518;0,018230697;TRUE;FALSE;TRUE
AT1G13480;17,31237088;-1,506852202;0,531224172;-2,83656558;0,004560161;0,018398316;TRUE;FALSE;TRUE
AT4G03380;6,7797109;-2,594916354;0,915184169;-2,835403454;0,004576785;0,018459158;TRUE;FALSE;TRUE
AT5G19470;9,606125198;-2,146382246;0,757474236;-2,833604291;0,004602629;0,018560263;TRUE;FALSE;TRUE
AT1G13620;14,6057886;1,677329997;0,593151438;2,827827584;0,004686504;0,018844488;TRUE;TRUE;FALSE
AT2G36325;6,344215686;-3,197893602;1,13133378;-2,826657931;0,004703654;0,018897567;TRUE;FALSE;TRUE
AT2G11810;9,589177688;-2,053960899;0,727727773;-2,822430275;0,004766118;0,019116418;TRUE;FALSE;TRUE
AT2G42388;5,598659395;-2,96391525;1,050202961;-2,822230901;0,004769083;0,019118691;TRUE;FALSE;TRUE
AT4G36230;16,50086333;-1,743450972;0,617741921;-2,822296679;0,004768105;0,019118691;TRUE;FALSE;TRUE
AT1G79780;9,439851311;-2,148360894;0,761259304;-2,822114467;0,004770815;0,019122429;TRUE;FALSE;TRUE
AT5G06760;17,63673312;-1,537490869;0,54541606;-2,818932156;0,00481837;0,01927751;TRUE;FALSE;TRUE
AT1G05700;20,45098954;-1,515129465;0,537565941;-2,81849974;0,004824865;0,01929704;TRUE;FALSE;TRUE
AT2G16730;5,79586605;-3,487782024;1,239781318;-2,813223569;0,004904754;0,019562255;TRUE;FALSE;TRUE
AT5G42655;16,20075962;1,685911214;0,599558187;2,811922597;0,004924635;0,019630428;TRUE;TRUE;FALSE
ATCG00220;14,56293486;-2,450025887;0,87203673;-2,809544371;0,004961168;0,019753013;TRUE;FALSE;TRUE
AT1G66600;18,45861067;1,522790112;0,542306312;2,807988915;0,004985194;0,019835468;TRUE;TRUE;FALSE
AT5G02865;10,98904808;-2,081377348;0,741546444;-2,80680646;0,005003529;0,019881964;TRUE;FALSE;TRUE
AT5G02570;8,701606834;-2,190900607;0,780854782;-2,805772157;0,005019617;0,019927095;TRUE;FALSE;TRUE
AT2G31910;14,53399945;1,656792632;0,59067556;2,804911433;0,005033041;0,019969376;TRUE;TRUE;FALSE
AT5G05530;15,28561656;1,669957622;0,595516799;2,804215809;0,005043913;0,020009195;TRUE;TRUE;FALSE
AT4G13790;5,667658788;-2,989944317;1,066481361;-2,803559842;0,005054185;0,020043296;TRUE;FALSE;TRUE
AT2G06995;6,046944775;-2,742686019;0,981879913;-2,793300874;0,005217314;0,020598014;TRUE;FALSE;TRUE
AT2G45080;16,51300235;-1,570835418;0,56311146;-2,789563932;0,005277907;0,020792626;TRUE;FALSE;TRUE
AT2G13810;13,77499803;-1,680341835;0,602779839;-2,787654341;0,005309116;0,020888052;TRUE;FALSE;TRUE
AT3G58190;10,67073137;2,025984014;0,727406741;2,785214793;0,005349228;0,021018212;TRUE;TRUE;FALSE
AT5G40180;10,71287965;-1,94636313;0,69921334;-2,783647019;0,00537515;0,021092348;TRUE;FALSE;TRUE
